AAVE,SAE
[mm-hm.],yes
mm-hm.,yes
[mm-hm.],yes
"for a mid line, three. back line,","for mid line, three hundred. back line,"
the least is like two fifty.,the least is like two hundren and fifty dollars.
[mm-hm.],yes
"so, mm-hm.","so, yes"
mm-hm.,yes
[mm-hm.],yes
"mm-hm, [that what they do.]","yes, that's what they do."
"so it be easy for you to maneuver in it, but if you're playing like a regular you know like, regular costume,","so it would be easy for you to maneuver in it, but if you're playing like a regular you know like, regular costume,"
but you're not gonna notice what he has on because it's only,but you're not going to notice what he has on because it's only
mm-hm.,yes
"okay, okay. nah, i definitely, definitely dig that.","okay, okay. no i definitely understand that."
"just randomly, what's your thoughts um,","just randomly, what are your thoughts um,"
"got chicks in some type of dungeon situation and i'm not sure how true that is, but","got women in some type of dungeon situation and i'm not sure how true that is, but"
"i can't speak on it, cause i don't know","i can't speak on it, because i don't know"
[mm-hm.],yes
[bumping] usher all the way. [<laugh>],listening to usher all the way.
"okay. why you- why you say usher, in particular?","okay. why do you say usher, in particular?"
because i know he got a- a situation too going on right now.,"becaue i know he has a, a situation too going on right now."
"that doesn't affect how i listen to his music. if he make good music, he make good music.","that doesn't affect how i listen to his music. if he makes good music, he makes good music."
his actions don't have nothing to do with me listening to what,his actions don't have anything to do with me listening to what
mm-hm.,yes
mm-hm.,yes
mm-hm.,yes
what's the boy name?,what's the boy's name?
[mm-hm.],yes
[yeah.],yes
i gotta check that out.,i have to check that out
[mm-hm.],yes
"a lot of [stuff be on] record too, so.","a lot of things are recorded too, so."
[mm-hm.],yes
"[i don't] even like love and hip hop like that no more, that's crazy.","i don't even like love and hip hop like that anymore, that's crazy."
[mm-hm.],yes
"[mm-hm, pretty little l-",yes
mm-hm.,yes
it sound familiar. i feel [like i should] know what movie that is.,it sounds familiar. i feel like i should know what movie that is.
[mm-hm.],yes
[mm-hm.],yes
[you] gonna spoil it for yourself.,you're going to spoil it for yourself.
i'm gonna watch it.,i'm going to watch it.
mm-hm.,yes
<ts> a fly shirt that you like?,a nice shirt that you like?
"[oh], man that's expensive. [i thought you] was gonna say more","oh, man that's expensive. i thought you were going to say more"
for sure. oh ooh [my gosh] thought she was gonna say more than that.,for sure. oh ooh my gosh i thougth she was going to say more than that.
you probably spending like a hundred and some change.,you're probably spending like a hundred dollars and some change.
"if it's like- i'm not gonna go extravagant, like get red bottoms, or something. if it's just","if it's like - i'm not going to go extravagant, like get red bottoms, or something. if it’s just"
[mm-hm.],yes
i'm'a get it.,i'm going to get it.
i [dig that.],i understand that.
that's pretty commendable. lot of people forget about old people.,that's pretty commendable. a lot of people forget about old people.
mm-hm.,yes
why you gotta passion of wanting to help,why do you have a passion for wanting to help
"i mean the money's gonna be good too, but, um,","i mean the money's going to be good too, but, um,"
[mm-hm.],yes
[mm-hm.],yes
"see i'm'a throw another random [one out there,]","see i'm going to throw another random one out there,"
"i tell ya, it's- it's about to get extra random cause,","i tell you, it's - it's about to get extra random because,"
"you know. it don't really matter, but","you know. it doesn't really matter, but"
mm-hm.,yes
[mm-hm.],yes
"put the lotion in my hand, and then i'll put the oil and rub it together cause i'm dark skinned. so i [gotta keep smooth.]","put the lotion in my hand, and then i'll put the oil and rub it together because i'm dark skinned. so i have to keep smooth."
[mm-hm.],yes
[mm-hm.],yes
feel like you changed that much /drasticky/,feel like you changed that much/drastically/
"say you're doing something and it's getting on my nerves. i be like, you dragging like,","say you're doing something and it's getting on my nerves. i'd say, you're dragging, like"
everybody say they say bruh,everybody says they say bruh
"[like] my best friend, i be hearing her say it, but she won't say it like bruh.","like my best friend, i hear her say it, but she won't say it like bruh."
"[but she be like] bruh,",but she'll say bruh
it- w- like i say i coulda helped,it - w- like i say i could've helped
mm-hm.,yes
"so who approach you more,","so who approaches you more,"
try to go about how hollering at you?,try to go about talking to you?
"sometimes they be rude like, the other day,","sometimes they're rude like, the other day,"
mm-hm.,yes
"and i'm paying for my dress. this boy come up to me and i'm using my card. i'm thinking he about to scam me, so","and i'm paying for my dress, this boy came up to me and i'm using my card. i'm thinking he's about to scam me, so"
"i'm like- i'm like, what is going on? he like, hey put your-","i'm like - i'm like, what is going on? he's like, hey put your-"
"aye, put my number in your phone.","hey, put my number in your phone."
mm-hm.,yes
[or they be like] what you finna do?,or they'll be like wht are you getting ready to do?
mm-hm.,yes
"if i'm at the gas station, aye what you finna do?","oif i'm at the gas station, hey what are you getting ready to do?"
"so they don't even do no type of introductions, they just","so they don't even do any type of introductions, they just"
"come on out with it, like they just know you for [all their life.]","come on out with it, like they've just known you for all their life."
nah? that's [not a big deal for you either?],no? that's not a big deal for you either?
"no, that is a big deal. don't call me [no ma'am.]","no, that is a big deal. don't call me ma'am"
[<laugh> don't call] me no ma'am. <laugh>,don't call me ma'am
[yeah.],yes
mm-hm.,yes
nah? okay.,no? okay.
[nah that's-],no that's
i really wanna,i really want to
"ooh, [ho. don't be talking about that.]","ooh, don't talk about that."
[yeah.],yes.
yeah.,yes.
[she thought] i was gonna be a cab baby.,she thought i was going to be a cab baby
like you were gonna be born in the cab.,like you were going to be born in the cab.
"yeah, we made it to the hospital, so <sigh> and then there was me.","yes, we made it to the hospital, so and then there was me."
[yeah.],yes.
don't eat at no [chinese food restaurants.],don't eat at any chinese food restaurants.
"[so, yeah.] ta- talk about your childhood a little bit. like, tell me what you remember about growing up in barauch.","so, yes. talk about your childhood a little bit, tell me what you remember about growing up in barauch."
[yeah.],yes.
yeah.,yes.
that's how all of that went [down.],that's how all of that happened.
yeah.,yes.
[yeah.],yes.
mm-hm.,yes.
[mm-hm.],yes.
"yeah. what was the make up in baruch? it was latino, [african am-]","yes. what was the make up in baruch> it was latino, african am-"
yeah.,yes.
[yeah.<laugh>],yes.
[yeah.],yes.
yeah.,yes.
"[oh.] yeah. [the park right across the-] yeah. right next to my house, there was a park in front of my house, a park in the side of my house, and a","oh. yes. the park right across the -  yes. right next to my house, t here was a park in front of my house, a park in the side of my ouse, and a "
"and yeah, we had everywhere. and we were very fortunate in that way.","and yes, we had everywhere. and we were very fortunate in that way."
[yeah.],yes.
[yeah.],yes
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
"that was a big part of childhood too, because my mom was like, don't go over there to the shelter kids, th- the castle kids, the castle. cause, then they were like, very ostracized, but.","that was a big part of childhood too, because my mom was like, don't go over there to the shelter kids, the castle kids, the castle. because, then they were like, very ostracized, but."
"yeah. so, they weren't that bad. [<laugh>] they weren't so [bad.]","yes. so, they weren't that bad. they weren't so bad."
"<ts> oh yeah. cause you he- cause it's a lot of things, like, as i grew up,","oh yes. because you because it's a lot of things, like, as i grew up,"
"but they wasn't it's just how they were saying, so.","but they weren't it's just how they were saying, so."
"in the [tone, and] it's like, who you talking about? so.","in the tone, and it's like who are you talking about? so."
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
i used to school everybody about their-,i used to teach everybody about their-
"[who am i] gonna talk [to about that? like, am i] gonna go talk to my friend maria about malcolm x?","who am i going to talk to about that? like, am i going to go talk to my friend maria about malcolm x?"
[yeah],yes.
[yeah.],yes.
who's thinking about that? be thinking about gym. we were thinking about,who's thinking about that? we were thinking about gym. we were thinking about
[yeah.],yes.
[yeah.],yes.
[yeah.] y- and i thank my mom for that because it opened my eyes about a thing-,yes. and i thank my mom for that because it opened my eyes about a thing
yeah.,yes.
[yeah.],yes
[yeah.],yes
[mm-hm.],yes
"put it this way, i grew up in crack era.","put it this way, i grew up in the crack era."
the eighties was [crack era.],the eighties were crack era.
yeah.,yes
"of course it was violence, of course there was drugs.","of course it was violence, of course there were drugs."
yeah.,yes
"i- cause i know it was there, [you know.]","i because i know it was there, you know."
[yeah.],yes
"cause, you know, after a certain time, when the street lights come on, you go in the house because","because, you know, after a certain time, when the street lights come on, you go in the house because"
[they're gonna start shooting out. <laugh>],they're going to start shooting out.
"yeah. definitely. i mean, when you- you're brought up in a situation where many people","yes. definitely. i mean, when you- you're brought up in a situation where many people"
yeah.,yes.
"no, i just have to f- [wal- go around it.] yeah. go around the obstacles, don't","no, i jus thave to f- wal- go around it. yes. go around the obstacles, don't"
"[yeah, like come on.] we don't need to, what-","yes, like come on. we don't need to, what -"
"she don't want your man. you know, i was the mediator.","she doesn't want your man. you know, i was the mediator."
mm-hm.,yes.
[yeah.],yes.
[yeah.],yes
"if yo- if it's a life and death situation, yeah, i can understand it, but.","if yo- if it's a life or death situation, yes, i can understand it, but."
"and i didn't mind being called a goody two shoe. i was like listen, i'm gonna wait until i'm re- for one thing, it was a religious thing for me.","and i didn't mind being called a good two shoe. i was like listen, i'm going to wait until i'm re- for one thing, it was a relivious thing for me."
"so, i wasn't gonna do it [anyway.]","so, i wasn't going to do it anyway."
[mm-hm.],yes.
"for one thing, i don't have money be spending","for one thing, i don't have money to spend"
"[or food. yeah, exactly.]","or food. yes, exactly."
[yeah.],yes.
[yeah.],yes.
"it's funny, cause now, i'm older","it's funny, because now, i'm older"
"cigarettes, [drinking a little] bit of liquor. so they was like <gasp> /rd-name-3/? like, uh, yes, yes, /rd-name-3/ but i waited til i was twenty one, like you [were supposed] to. until i was really ready to deal with it, cause i look back, and i'm like, damn.","cigarettes, drinking a little bit of liquor. so they were like <gasp>? like, yes, yes, but i waited until i was twenty one, like you were supposed to. until i was ready to deal with it, because i look back, and i'm like, damn."
[yeah.],yes.
[yeah.],yes.
"[yeah, but.]","yes, but."
"something that /rd-name-2/ was very jealous of, cause she was not in the smart class, and i [was.]","something that - was very jealous of, because she was not in the smart class, and i was."
mm-hm.,yes.
that don't mean anything girl. [let me finish.] <laugh>,that doesn't mean anything girl. let me finish
mm-hm.,yes.
mm-hm.,yes.
[yeah.],yes.
"[so, yeah. i went] to /rd-school-4/, after /rd-school-4/, i","so yes. i went to - , i"
mm-hm.,yes.
[mm-hm.],yes.
"sometimes, life happens and you gotta step- step back.","sometimes, life happens and you have to step- step back."
"[but,] if i could redo it, i definitely wouldn't even think about the stuff i was thinking about, and i woulda just been thinking about school, [but]","but, if i could redo it, i definitely wouldn't even think about the stuff i was thinking about, and i would've just been thinking about school, but"
i- i didn't wanna do that.,i- i didn't want to do that.
i really didn't wanna,i really didn’t want to
"i'm'a tell you when i knew. the indication that i had that things were changing's when they started paving the streets, and when","i'm going to tell you when i knew. the indication that i had that things were changing is when they started paving the streets, and when"
"yeah, they did, but you know, they always leave a little bit of crack in the-","yes, they did, but you know, they always leave a little bit of crack in the - "
"you know, you hafta appease the","you know, they have to appease the"
[yeah.],yes.
[yeah.] i mean.,yes. i mean.
yeah.,yes.
yeah.,yes.
yeah.,yes.
"all types of situations. you know, [some of 'em] are just coming here, to america.","all types of situations. you know, some of them are just coming here to america."
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
cause of the [young lady who got shot.],because of the young lady who got shot.
yeah. for you.,yes. for you.
cause everybody has a different.,because everybody has a different.
"a- aspect of [what it is, yeah.]","aspect of what it is, yes."
"[yeah and they] think it's like a di- you know, goes from here to here.","yes and they think it's like a you know, goes from here to here."
[yeah.],yes.
[yeah.],yes.
[yeah. okay.] okay.,yes. okay. okay.
[yeah.],yes.
[yup .],yes.
[yeah.] brooklyn bridge all the way up,yeah. brooklyn bridge all the way up
[yeah.],yes.
yeah. what's your take on that. some people think there's- there's,yes. what's your take on that. some people think there's - there's
yeah.,yes.
"[it's new, you know. yeah. okay.]","it's new, you know. yes. okay."
yeah.,yes.
[yeah.],yes.
yeah.,yes.
"[so, i'm'a] tell her when i saw y- y- i saw you cutting.",so i'm going to tell her when i saw you cutting.
"i think that in a couple of years, when they're ready to raise their children, or whatever the case may be, i think they're gonna move on up out of here.","i think that in a couple of years, when they're ready to raise their children, or whatever the case may be, i think they're going to move out of here."
are gonna be moved out.,are going to be moved out.
"the people who've been here, are gonna be moved out. i [definitely] know there's a disconnection.","the people who've been here, are going to be moved out. i definitely know there's a disconnection."
[yeah.],yes.
[yeah.],yes.
it's a whole nother life.,it's a whole other life.
[yeah.],yes.
"[it's a who-] cause, i did a study with my, not a study, but my kids did a community survey","because i did a study with my, not a study, but my kids did a community survey"
[yeah.],yes.
yeah.,yes.
yeah this community's going through gentrification.,yes this community's going through gentrification.
[yeah.],yes.
"[everything is great] and you know, we go to- h- you wanna get a drink","everything is great and you know, we go to - you want to get a drink"
[yeah.],yes.
"cause,",because
[yeah.],yes.
yeah.,yes.
yeah.,yes.
yeah.,yes.
yeah.,yes.
yeah.,yes.
it's always gonna be a difference between the poor and the rich. always.,it's always going to be a difference between the poor and the rich. always
[yeah .],yes.
"in la- l- los angeles, you could be in chicago, there's always gonna be","in los angeles, you could be in chicago, there's always going to be"
and the rich. the low class and the high class. [it's always gonna be there.],and the rich. the low class and the high class. it's always going to be there.
yeah.,yes.
yeah.,yes.
"they're not gonna even think to,","they're not even goin gto think to, "
yeah.,yes.
yeah.,yes.
yeah.,yes.
[yeah.],yes.
[mm-hm.],yes.
[cause] you have people who lived in the lower east side all their lives and,because you have people who lived in the lower east side all their lives and
[yeah.],yes.
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
[yeah.],yes.
[yeah.],yes.
"cause you're [not,] cause if you had any sense that this was your neighborhood,","because you're not, because if you had any sense that this was your neighborhood,"
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
[mm-hm.],yes
[mm-hm.],yes.
[mm-hm.],yes.
[mm-hm.],yes.
mm-hm.,yes.
damn straight ain't another boutique.,damn straight isn't another boutique.
yeah.,yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
[yeah.] it's-,yes. it's
[mm-hm.],yes.
[mm-hm.],yes.
is it gonna be affordable housing?,is it going to be affordable housing?
[or is] it gonna be another blue building?,or is it going to be another  blue building?
yeah.,yes.
[yeah.],yes.
yeah.,yes.
yeah.,yes.
yeah.,yes.
[cause] i wasn't able to find,because i wasn't able to find
yeah.,yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
[yeah. yeah.],yes. yes.
yeah. i'm a student. i'm definitely low income (laughing). <laugh>,yes. i'm a student. i'm definitely low income 
"think if like, for instance, if that site were gonna be developed, would you","think if like, for instance, if that site were going to be developed, would you"
yeah.,yes.
"[yeah, they're over-] they're over fifty, so, i wouldn't.","yes, they're over- they're over fifty, so, i wouldn't."
yeah.,yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
"you know what i mean, cause ten, that- that- that'll","you know what i mean, because ten, that - that- that'll"
"do enough people, [but it's] not gonna be like","do enough people, but it's not going to be like"
[yeah.],yes.
[yeah.],yes.
some of 'em just stick out.,some of them just stick out.
yeah.,yes.
"[doesn't even- doesn't even look] like it's sturdy, like i wouldn't wanna live there, [cause i would think it]","doesn't even - doesn't even look like it's sturdy, like i wouldn't want to live there, because i would think it"
"[gonna lean over or something.] like, lean back. for real, [like, i'm good.]","going to lean over or something. like, lean back. for real, like, i'm good."
[yeah.],yes.
what you tryna blind us from what's really going on? like,what are you trying to blind us from what's really going on? like
yeah. [yeah.],yes. yes.
yeah.,yes.
"cause i would think that a lot of the people who are moving in now,","because i would think that a lot of the people who are moving in now, "
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
mm-hm.,yes.
"[cause it] really is such a, you know, the","because it really is such a, you know, the"
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
[yeah.],yes.
[right.],yes.
[yeah.],yes.
yeah.,yes.
"yeah, [totally. totally]","yes, totally. totally"
[yeah.],yes.
[yeah.],yes.
[yeah.],yes.
yeah.,yes.
[yeah.],yes.
yeah.,yes.
"um, baseball,","baseball,"
"i ain't r- actually played it, but you know i took it at school. i'll take it at school when i take gym, that's the only time.","i didn't actually play it, but you know i took it in school. i'll take it at school when i take gym, that's the only time."
mm-hm. how do you play soccer?,how do you play soccer?
"somebody hit the ball over to me, and i hit it back to them and t- keep trying to not let them knock it on the ground, or i knock it on the ground.","somebody hit the ball over to me, and i hit it back to them and keep trying to not let them knock it on the ground, or i knock it on the ground."
make him miss it and he try to makes me miss it.,make him miss it and he tries to make me miss it.
[so i] can get- win like that.,[so i] can get a win like that.
what about any of other kind of games you play with kids in the neighborhood?,what about any other kind of games you play with kids in the neighborhood?
"or um, some kind of circle game or something like that. or, if they have like checkers","or, some kind of circle game or something like that. or, if they have checkers"
with them games.,with those games.
like we get a person to,we get a person to
"chase after us, and the person that he tag,","chase after us, and the person that he tags,"
that- that person be what he was at first.,that person is what he was at first.
whatever he g- say he is.,whatever he says he is.
"we say um,","we say,"
"and if the last person that don't say, not it, that's the one that be it.","and if the last person that doesn't say, not it, that's the one that is it."
"[yeah], or something /to that/.","yes, or something /to that/."
i don't hardly know none of them.,i don't hardly know any of them.
and pick people who are gonna [/be it/]?,and pick people who are going to [/be it/]?
"/at um,/ the last person that i said a word on, that's the one be it.","the last person that i said a word on, that one is it."
it's something uh- what color is-,it's something - what color is-
"okay, what else you [wanna ask]?","okay, what else do you want to ask?"
"um, my three sons, and petticoat junction, and dating game.","my three sons, and petticoat junction, and dating game."
mm-kay. can you tell me about one episode that you saw recently?,okay. can you tell me about one episode that you saw recently?
"so his mother told him he go out s- and shine shoes,","so his mother told him he could go out and shine shoes,"
and so she ain't like her son to do this.,and so she didn't like her son to do this.
"then later on, they got the money, and they bought the monster.","then later on, they received the money, and they bought the monster."
"and she um, at the end of it,","and she, at the end of it,"
"they went in her room, and they scared her and she- they was playing, running around the couch and the /unintelligible/","they went in her room, and they scared her and she- they was playing, running around the couch and the /unintelligible/"
"it ain't no fun. we can't get outside and get no fresh air until three o'clock, and i don't like that. and i'm not-","it isn't any fun. we can't get outside and get any fresh air until three o'clock, and i don't like that. and i'm not-"
mm-hm. can you tell me how does-,can you tell me how does-
but i still don't like it. that's why i hardly know nothing about it.,but i still don't like it. that's why i hardly know anything about it.
cause i don't pay no attention to it.,because i don't pay attention to it.
mm-hm. what about the teachers?,what about the teachers?
don't want 'em. i wanna get transferred to another class.,don't want them. i want to get transferred to another class.
cause i think he's nice.,because i think he's nice.
like if- he'll let you talk and laugh and things like that. but he don't want you to talk loud.,like if- he'll let you talk and laugh and things like that. but he doesn't want you to talk loud.
and that's why i like him. he ain't mean.,and that's why i like him. he isn't mean.
"if i be doing something, they don't like it. like if i talk a lot or chew gum or something, they'll holler at me and like, if i [fuss back] at them,","if i'm doing something, they don't like it. like if i talk a lot or chew gum or something, they'll holler at me, if i [fuss back] at them,"
"we was having a test. the teacher- i wasn't there almost all that week,","we were having a test. the teacher- i wasn't there almost all of that week,"
"we gonna have a test. and i said, miss /rd-name-1/, i don't have the words.","we are going to have a test. and i said, miss /rd-name-1/, i don't have the words."
"if you had been here, you would of knowed the words.","if you were here, you would of known the words."
"so, after the test, we had /did it/-","so, after the test, we did it"
"and so this girl behind me- i know she don't- she don't ever do no work, so i turn around and said,","and so this girl behind me- i know she doesn't- she doesn't ever do any work, so i turned around and said,"
"do you have a um,",do you have a
the t- work that we just did?,the work that we just did?
"sh- then mrs. /rd-name-1/ told me turn around and be quiet. and i said, i was just asking her- she told me to turn around and be quiet.","sh- then mrs. /rd-name-1/ told me to turn around and be quiet. and i said, i was just asking her- she told me to turn around and be quiet."
"she told me to send it back, and when i said, i'm gonna tell my mother.","she told me to send it back, and when i said, i'm going to tell my mother."
she told me sit in back of the room. i'm isolated. that's why i got a f on my paper.,she told me sit in the back of the room. i'm isolated. that's why i got an f on my paper.
"well i guess that was a pretty bad time, huh?",well i guess that was a pretty bad time?
she was nice. she likeded me the best all in the room.,she was nice. she liked me the best of all in the room.
"all the time, and i u- if i go back and tell the teacher, they'll get in trouble.","all of the time, and if i go back and tell the teacher, they'll get in trouble."
"so when we go in the bathroom, they'll beat me up. then when i go up the step- i ain't like to fight-","so when we go in the bathroom, they would beat me up. then when i would go up the step- i didn't like to fight-"
they'll pet me and make me stop crying this- before we get in the room cause if i tell the teacher. they know they'll get in a lot of trouble.,they would pet me and make me stop crying this- before we get into the room because if i tell the teacher. they know they'll get into a lot of trouble.
"uh, did the kids ever play a trick on the teachers?",did the kids ever play a trick on the teachers?
"like me and glaverne, we go many places together, and we hang together. we share each things, we share with each other.","me and glaverne, we go many places together, and we hang together. we share each things, we share each other."
and we do all the things like that.,and we do all of the things like that.
"it's a study hall, where you go to study at.","it's a study hall, where you go to study."
"uh, is it in school you mean?",is it in school you mean?
mm-mm. it's not at school.,it's not at school.
"and, u- u- what if somebody new wants to join? how do they join it?","and, what if somebody new wants to join? how do they join it?"
"they just go there and tell the lady that they want a teacher,","they go there and tell the lady that they want a teacher,"
"and the lady will um,","and the lady will,"
tell them to wait until she find 'em one. and if one teacher come there that's new there,tell them to wait until she finds them one. and if one teacher comes there that's new there
"[yes], after school is- we start at seven o'clock to eight o'clock.","[yes], after school is- we start at seven o'clock until eight o'clock."
i don't like to do nothing on saturdays and sundays. sometime on sundays i go to movies.,i don't like to do anything on saturdays and sundays. sometime on sundays i go to the movies.
"uh, in your group of friends that you said- your closest group of friends- is there any one person that everybody listens to or",in your group of friends that you said- your closest group of friends- is there any one person that everybody listens to or
"um, what would you like to be when you grow up?",what would you like to be when you grow up?
i don't know. i /don't/ wanna work in the surgeon /one/.,i don't know. i /don't/ want to work in the surgeon /one/.
[cause] i don't think my nerves that good.,"because, i don't think my nerves are that good."
"i don't know all the names of the doctors, though.","i don't know all of the names of the doctors, though."
cause i just-,because i just-
i ain't wanna be a grown up doctor. i wanna be a children doctor because i like childrens.,i didn't want to be a grown up doctor. i want to be a children's doctor because i like children.
uh-huh. so you went back to /visit/.,so you went back to /visit/.
like that. i'd like to take that up now.,like that. i'd like to take that now.
"i wanted to work in london cause i love london, but i don't think i ain't got no money to go to there.","i wanted to work in london because i love london, but i don't think i have any money to go there."
yeah.,yes
i don't know nothing about it. all i know is,i don't know anything about it. all i know is
"that i like they way- the way the peoples talk,","that i like their way- the way the people talk,"
but i ain't studied very much about it. i know that-,but i didn't study very much about it. i know that-
"they very friendly to the united state, and they our mother country.","they are very friendly to the united states, and they are our mother country."
that's all i mostly know about it.,that's the most i know about it.
"um, if you had all the money in the world, or all the money you ever wanted, what would you do with that","if you had all of the money in the world, or all of the money you ever wanted, what would you do with that"
"if i had all the money in the world, i would help poor peoples.","if i had all of the money in the world, i would help poor peoples."
"by- like some peoples can't have- ain't got enough food, and they ain't living in a decent home.","by, some people can't have, or don't have enough food, and they aren't living in a decent home."
"and build better schools, so they can get a education.","and build better schools, so they can get an education."
i don't know nothing about that. i just w- i just want to live on a ranch.,"i don't know anything about that. i just, i just want to live on a ranch."
my family don't celebrate. that's why i wanna leave them.,my family doesn't celebrate. that's why i want to leave them.
the only ones we celebrate is thanksgiving and christmas.,the only ones we celebrate are thanksgiving and christmas.
what i do?,what do i do?
"on christmas, my mother /gonna give/ my toys.","on christmas, my mother /going to give/ my toys."
"and if um,",and if
"on thanksgiving, all we do- my mother fix food and we eat.","on thanksgiving, all we do- my mother cooks food and we eat."
what other holidays would you celebrate if you were gonna do it?,what other holidays would you celebrate if you were going to do it?
"hm, any other days?",any other days
"trick or tr- uh, trick and treat. <laugh>",trick or treat. <laugh>
[/yeah/.],yes
if my mother want me to go.,if my mother wants me to go.
where i'm going?,where am i going?
right /around/ in my neighborhood.,closely around in my neighborhood.
"yeah, i'm'a get dressed up.","yes, i will get dressed"
"i don't do nothing but just go to people's house and say, trick or treat,","i don't do anything but go to houses and say, trick or treat,"
lots of candy and things huh?,lots of candy and things?
yeah.,yes
"i want a sewing machine. i had a sewing machine but it got burnt up, and i want some clothes.","i want a sewing machine. i had a sewing machine but it burned up, and i want some clothes."
what was the best christmas present you ever got?,what was the best christmas present you ever received?
year before last.,year before last year.
how'd it get burned up /anyway/?,how did it get burned up /anyway/?
"i let my aunt took it with her to new york, and her house caught on fire.","i let my aunt take it with her to new york, and her house caught fire."
"/we're done, finished. huh/?","/we're done, finished?"
"we was going to get our hair fix,","we were going to get our hair done,"
two something,a little after 2 oclock
"carl, this man, he was getting all fresh and /these p- these/ boys was following.","carl, this man, he was getting fresh and these boys were following."
"and i thought i was gonna get killed, and one day i was on my way from home,","and i thought i was going to get killed, and one day i was on my way from home,"
"a pain hit me in my chest. somewhere, i don't where it hit me- i thought it was in my heart. and i thought i was going to die right out in the street.","a pain hit me in my chest. somewhere, i don't know where it hit me- i thought it was in my heart. and i thought i was going to die right out in the street."
[cause i was scared.],because i was scared.
sometimes people say that whatever's gonna happen is going to happen.,sometimes people say that whatever's going to happen is going to happen.
like if somebody say,like if somebody says
"that the person gonna die. is it gonna happen, just gonna happen. that person just gonna die.","that the person is going to die. is it going to happen, just going to happen. that person is just going to die?"
yeah.,yes
"i hear some- i hear it somebody said that um,","i hear some- i heard it somebody said that,"
"somebody was gonna get killed,","somebody was going to get killing to get killed,"
yeah.,yes
before we go on. we're gonna go on to a different,before we go on. we're going to go on to a different
"no, i don't have no questions [for you.]","no, i don't have any questions [for you.]"
not really nowhere major.,nowhere of significance.
"you know,","basically,"
regular shit.,normal. 
"okay, cool, cool, cool.","i understand, great."
i'm a hustler.,i'm ambiguously engaging in multiple streams of income
i'm tryna,i am trying to
how much time you got?,how much time do you have?
you know what i'm saying.,do you understand me?
people who ain't white.,people who are not white.
dig that. i dig that.,i undertsand deeply
"i had three strikes against me coming out the womb,",i already had three strikes against me
but it's strikes that i'll-,but they are strikes that i will
you feel what i'm saying.,do you undertand what i am telling you
get over the whole idea of tryna bring us all together and become one and,"get entirely over the idea of trying to bring us all together, become one, and"
"as long as we're tryna become equal to them,","as long as we are trying to become equal to them,"
she was my kid before my kids was my kids.,she was my child before i had children
"yeah, [you good.]",you are good
that's my heart.,that is my heart
that's my baby.,that is my baby
"okay, cool, cool, cool. what about, um,",i understand. what about
it kind of got shaky,it became difficult
"it was being ran by a white guy,",it was ran by a white guy.
"now once you got close up on him, you probably be like,","once you got close to him, you would probably say,"
"oh okay, he got curly hair.",i see he has curly hair
"[he] ain't got green or blue eyes. his eyes is brown,",he does not have green or blue eyes. his eyesare brown
you know what i'm saying. he had a little soul in his voice.,do you understand? he had some soul in his voice.
"i didn't really check for him yet, but he definitely give me that,","i did not check for him yet, but he definitely gave that,"
"ah damn, i could've sworn bruh was white,","ah damn, i could have sworn he was white,"
far was the schools from your crib?,how far were the schools from your home?
"a walk literally. it was around- literally around the corner. like i could walk up one block and hit a corner and hit another corner, and i was at school.","a literal walk. it was around- literally around the corner. i could walk up one block, reach a corner, reach another corner, and i was at school."
little crew with you when you walked?,was a group of friends with you when you walked?
"absolutely. no, i didn't need a crew when i walked. what did i have a crew at school? yeah, but","absolutely. no, i didn't need a group of friends when i walked. what did i have a group of friends at school? yeah, but"
i didn't need a crew.,i did not need a group of friends
just for walking you didn't need that. you was good,you did not need that just for walking. you would have been fine.
i [was cool.],i was fine.
"since you said something about your crew,",since you mentioned your friends
what did y'all do together?,what did you all do together?
get into a whole lot of trouble.,were mischevious
oh yeah?,really?
"you know how you had that kid growing up in school that your parents be like, stay away from them.",remember that kid gorwing up in school that your parents said to stay away from.
i used to hafta get into,i had to get into
and outside in the streets than i was to my mother at home.,and outside in the neighborhood than i was to my mother at home
you think sparky wanna come in?,do you think sparky would like to come in?
"no, he barking at whoever's walking past. shut up.","no, he is barking at whomever he sees. be quiet."
"cause grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",because grandma tries to watch her stories in peace and he would be barking at nobody for no
god damn reason.,god damn reason. 
it was two girls,there were two girls
"no, i told 'em, i'll whoop both of y'all asses.","no, i told them, i'll beat both of their asses."
"wow, that's cool.","wow, great."
